ID,CW,c1,ST_c1_Mean,ST_c1_SD,Obs_c1,c2,ST_c2_Mean,ST_c2_SD,Obs_c2,ST_Juhasz,Mandera_c1,Mandera_c2
1469,manhandle,man,3.156,1.919,32,handle,3.300,1.725,30,NA,0.665,0.665
1470,manhole,man,3.594,2.108,32,hole,4.667,1.863,30,NA,0.853,0.703
1471,manhood,man,5.000,1.438,31,hood,3.531,2.158,32,NA,0.646,0.855
1472,manhours,man,4.290,1.616,31,hours,3.875,1.939,32,NA,NA,NA
1473,mankind,man,5.871,1.500,31,kind,3.167,1.724,30,NA,0.666,0.793
1474,manlike,man,5.484,1.546,31,like,2.767,1.612,30,NA,0.716,0.699
1475,manmade,man,4.344,1.928,32,made,4.300,1.784,30,NA,0.902,0.842
1476,manpower,man,4.419,2.013,31,power,3.667,1.668,30,NA,0.912,0.787
1477,manservant,man,4.290,1.677,31,servant,4.031,2.152,32,NA,0.609,0.531
1478,manslaughter,man,3.290,2.269,31,slaughter,4.400,1.868,30,NA,0.880,0.873
1479,mantelpiece,mantel,3.594,1.864,32,piece,3.594,1.669,32,NA,0.560,0.713
1480,mantlepiece,mantle,4.313,1.839,32,piece,3.594,1.728,32,NA,NA,NA
1481,mantrap,man,3.500,1.849,32,trap,3.867,1.889,30,NA,0.834,0.786
1482,markdown,mark,4.188,1.925,32,down,3.067,1.413,30,NA,0.941,0.990
1483,marketplace,market,5.781,1.601,32,place,4.419,1.766,31,5.79,0.480,0.848
1484,marksman,marks,3.968,1.602,31,man,3.839,2.074,31,NA,NA,0.732
1485,markup,mark,3.813,1.635,32,up,2.969,1.602,32,3.36,0.892,0.968
1486,mastermind,master,4.806,1.447,31,mind,4.300,1.784,30,NA,0.792,0.797
1487,masterpiece,master,4.065,1.948,31,piece,3.067,1.530,30,NA,0.754,0.579
1488,mastership,master,4.000,1.713,31,ship,3.094,2.309,32,NA,0.697,0.921
1489,masthead,mast,4.063,1.740,32,head,3.433,1.832,30,3.92,0.631,0.908
1490,matchbox,match,4.375,2.044,32,box,4.875,1.491,32,NA,0.824,0.718
1491,matchstick,match,4.387,1.944,31,stick,4.194,1.721,31,NA,0.733,0.725
1492,matchwood,match,3.625,1.718,32,wood,4.400,1.850,30,NA,0.758,0.644
1493,mayday,may,3.032,2.105,31,day,2.968,2.105,31,NA,0.924,0.853
1494,Mayflower,may,2.548,1.981,31,flower,4.563,1.690,32,NA,NA,NA
1495,mayfly,may,3.000,1.673,31,fly,3.781,1.973,32,NA,0.884,0.665
1496,maypole,may,3.032,1.560,31,pole,3.267,1.760,30,NA,0.950,0.703
1497,mealtime,meal,5.581,1.409,31,time,3.500,1.907,30,5.93,0.540,0.707
1498,meantime,mean,2.613,1.909,31,time,3.323,1.833,31,2.67,0.815,0.696
1499,meanwhile,mean,2.875,1.980,32,while,3.656,1.670,32,2.71,0.806,0.477
1500,meatball,meat,5.387,1.542,31,ball,4.067,1.929,30,6.29,0.462,0.747
1501,membership,member,5.194,1.537,31,ship,2.844,1.970,32,NA,0.520,1.037
1502,metalwork,metal,4.188,1.822,32,work,3.400,1.453,30,NA,0.550,0.803
1503,middlebrow,middle,3.742,1.673,31,brow,3.355,1.704,31,NA,0.911,0.874
1504,middleman,middle,4.839,1.655,31,man,3.935,1.711,31,NA,0.920,0.803
1505,milestone,mile,3.875,2.044,32,stone,2.548,1.362,31,2.21,0.890,0.879
1506,milkmaid,milk,4.813,1.635,32,maid,3.400,1.754,30,NA,0.551,0.642
1507,milkman,milk,5.065,1.289,31,man,3.375,1.901,32,NA,0.493,0.727
1508,milkshake,milk,5.000,1.653,31,shake,4.063,1.839,32,NA,0.578,0.709
1509,milkweed,milk,3.125,1.792,32,weed,3.133,1.525,30,NA,0.807,0.704
1510,millstone,mill,3.719,1.818,32,stone,3.433,1.755,30,NA,0.729,0.772
1511,millwheel,mill,4.469,1.934,32,wheel,3.900,2.090,30,NA,NA,NA
1512,mincemeat,mince,4.000,1.918,32,meat,5.194,1.815,31,NA,0.632,0.661
1513,minefield,mine,4.844,1.953,32,field,4.032,1.560,31,NA,0.872,0.805
1514,minuteman,minute,3.129,1.668,31,man,4.179,2.038,28,NA,0.907,0.919
1515,minutemen,minute,3.548,1.947,31,men,3.500,1.947,32,NA,NA,NA
1516,molehill,mole,3.438,1.883,32,hill,4.367,1.921,30,4.73,0.813,0.634
1517,moleskin,mole,3.281,1.800,32,skin,4.033,1.732,30,4.07,0.827,0.610
1518,moneybox,money,5.031,1.656,32,box,4.733,1.741,30,NA,0.799,0.761
1519,moneymaker,money,5.032,1.402,31,maker,3.313,2.305,32,NA,0.763,0.818
1520,moocow,moo,3.129,1.962,31,cow,3.594,2.006,32,NA,NA,NA
1521,moonbeam,moon,5.323,1.351,31,beam,3.567,2.079,30,NA,0.702,0.704
1522,moonlight,moon,5.406,1.434,32,light,5.032,1.242,31,NA,0.528,0.535
1523,moonlit,moon,5.484,1.458,31,lit,4.031,1.632,32,NA,0.569,0.691
1524,moonshine,moon,5.097,1.700,31,shine,3.500,1.852,30,NA,0.739,0.721
1525,moonstone,moon,3.719,1.922,32,stone,3.500,1.947,32,NA,0.747,0.741
1526,moonstruck,moon,3.156,1.743,32,struck,3.400,1.831,30,NA,0.679,0.816
1527,moreover,more,4.032,1.779,31,over,2.867,1.592,30,NA,0.727,0.879
1528,mortarboard,mortar,4.233,1.736,30,board,3.333,1.241,30,NA,0.875,0.884
1529,mothball,moth,3.548,1.947,31,ball,3.677,1.922,31,NA,0.979,0.939
1530,motherhood,mother,5.065,1.365,31,hood,2.281,1.532,32,3.93,0.660,0.911
1531,motherland,mother,3.625,1.601,32,land,4.094,1.692,32,4.73,0.704,0.662
1532,mothproof,moth,4.161,1.772,31,proof,2.300,1.317,30,NA,0.809,0.770
1533,motorbike,motor,4.719,1.442,32,bike,5.258,1.612,31,NA,0.689,0.358
1534,motorboat,motor,5.065,1.548,31,boat,5.129,1.784,31,NA,0.641,0.364
1535,motorcar,motor,4.625,2.028,32,car,5.156,1.505,32,NA,0.592,0.538
1536,motorcycle,motor,4.688,1.674,32,cycle,3.813,1.765,32,NA,0.611,0.715
1537,motorway,motor,4.625,1.827,32,way,3.233,1.591,30,NA,0.864,0.889
1538,mountainside,mountain,4.844,1.886,32,side,3.500,1.689,32,NA,0.428,0.828
1539,mountaintop,mountain,5.563,1.413,32,top,4.414,1.296,29,NA,0.467,0.823
1540,mousetrap,mouse,4.688,1.925,32,trap,4.563,1.928,32,NA,0.727,0.765
1541,mouthpiece,mouth,4.906,1.785,32,piece,3.563,1.892,32,NA,0.616,0.864
1542,mouthwash,mouth,5.323,1.701,31,wash,4.806,1.662,31,NA,0.605,0.643
1543,muckheap,muck,3.531,1.626,32,heap,3.065,1.526,31,NA,NA,NA
1544,mudflat,mud,4.452,1.650,31,flat,3.219,1.637,32,NA,NA,NA
1545,mudguard,mud,3.688,1.804,32,guard,3.300,1.745,30,NA,0.855,0.838
1546,muscleman,muscle,4.938,1.966,32,man,4.656,1.869,32,NA,0.768,0.595
1547,musclemen,muscle,4.484,1.805,31,men,4.000,1.897,31,NA,NA,NA
1548,mushroom,mush,4.194,2.197,31,room,2.281,1.701,32,1.50,0.703,0.846
1549,muskrat,musk,3.065,1.289,31,rat,3.867,1.852,30,2.80,0.661,0.590
1550,myself,my,5.719,1.529,32,self,5.867,1.456,30,NA,0.431,0.668
1551,namedrop,name,3.194,2.056,31,drop,2.313,1.701,32,NA,NA,NA
1552,nameplate,name,5.065,1.788,31,plate,3.767,1.888,30,NA,0.827,0.776
1553,namesake,name,4.065,1.769,31,sake,3.097,1.620,31,4.00,0.671,0.905
1554,nationwide,nation,5.031,1.823,32,wide,3.258,1.807,31,5.80,0.760,0.800
1555,nearby,near,6.063,1.076,32,by,2.633,1.732,30,NA,0.399,0.791
1556,nearside,near,4.281,1.800,32,side,3.067,1.081,30,NA,0.899,0.765
1557,neckband,neck,4.625,1.755,32,band,3.967,1.884,30,NA,0.593,0.784
1558,necklace,neck,3.839,1.828,31,lace,2.406,1.548,32,NA,0.618,0.694
1559,neckline,neck,4.516,1.710,31,line,3.233,1.654,30,NA,0.630,0.779
1560,necktie,neck,4.438,2.031,32,tie,5.594,1.524,32,NA,0.583,0.530
1561,neckwear,neck,5.226,1.746,31,wear,4.063,1.899,32,NA,0.603,0.536
1562,needlecraft,needle,4.677,1.887,31,craft,3.933,1.461,30,NA,NA,NA
1563,needlepoint,needle,4.750,1.760,32,point,3.688,1.839,32,NA,0.787,0.937
1564,needlework,needle,4.875,1.773,32,work,3.900,1.989,30,NA,0.859,0.818
1565,network,net,3.906,2.085,32,work,2.966,1.936,29,3.07,0.816,0.908
1566,nevermore,never,4.129,1.803,31,more,2.844,1.857,32,NA,0.689,0.782
1567,newborn,new,4.677,1.681,31,born,4.600,1.923,30,NA,0.837,0.615
1568,newfound,new,4.935,1.788,31,found,4.667,1.539,30,NA,0.776,0.846
1569,newsman,news,4.677,1.579,31,man,3.344,2.003,32,NA,0.564,0.673
1570,newsmonger,news,4.645,1.624,31,monger,4.031,1.825,32,NA,0.668,0.946
1571,newspaper,news,4.806,1.778,31,paper,4.813,1.707,32,NA,0.529,0.481
1572,newsprint,news,5.161,1.635,31,print,4.219,1.695,32,NA,0.791,0.570
1573,newsreader,news,5.129,1.310,31,reader,4.594,1.546,32,NA,0.610,0.803
1574,newsroom,news,5.258,1.413,31,room,4.250,1.668,32,NA,0.627,0.870
1575,newssheet,news,4.903,1.739,31,sheet,4.469,1.647,32,NA,0.778,0.789
1576,newsstand,news,5.129,1.384,31,stand,4.594,1.745,32,NA,0.675,0.958
1577,nickname,nick,2.313,1.674,32,name,5.033,1.474,30,3.36,0.816,0.447
1578,nightcap,night,3.875,1.680,32,cap,4.563,1.748,32,NA,0.580,0.713
1579,nightclothes,night,4.581,1.785,31,clothes,4.313,2.148,32,NA,0.610,0.495
1580,nightclub,night,5.063,1.740,32,club,5.533,1.570,30,NA,0.641,0.534
1581,nightdress,night,4.063,1.684,32,dress,5.313,1.205,32,NA,0.666,0.432
1582,nightfall,night,5.968,0.948,31,fall,3.133,1.756,30,NA,0.635,0.790
1583,nightgown,night,4.968,1.923,31,gown,4.700,1.601,30,NA,0.578,0.484
1584,nighthawk,night,4.161,1.715,31,hawk,4.367,1.586,30,NA,0.783,0.664
1585,nightlife,night,4.938,1.585,32,life,3.516,1.691,31,NA,0.744,0.804
1586,nightlight,night,4.258,1.653,31,light,4.156,2.028,32,NA,0.679,0.596
1587,nightline,night,4.156,2.002,32,line,2.906,1.516,32,NA,NA,NA
1588,nightmare,night,4.406,1.720,32,mare,2.344,1.726,32,NA,0.594,0.913
1589,nightshade,night,4.031,1.892,32,shade,3.700,1.557,30,NA,0.883,0.785
1590,nightshirt,night,4.281,1.888,32,shirt,4.875,1.402,32,NA,0.630,0.464
1591,nightstick,night,4.613,1.476,31,stick,4.094,1.806,32,NA,0.742,0.730
1592,nighttime,night,6.387,0.919,31,time,4.781,1.446,32,NA,0.561,0.674
1593,nightwork,night,3.938,1.917,32,work,3.600,1.714,30,NA,NA,NA
1594,ninepenny,nine,3.194,1.662,31,penny,3.333,1.768,30,NA,NA,NA
1595,ninepin,nine,2.844,1.505,32,pin,2.871,1.335,31,NA,0.821,0.814
1596,nobleman,noble,4.323,1.620,31,man,4.031,2.089,32,5.93,0.544,0.696
1597,nobody,no,3.742,1.731,31,body,3.781,1.932,32,4.47,0.492,0.774
1598,noonday,noon,5.031,1.492,32,day,3.935,1.504,31,NA,0.681,0.674
1599,noontide,noon,3.613,1.909,31,tide,3.156,2.048,32,NA,0.820,0.723
1600,noontime,noon,6.156,1.347,32,time,4.484,1.947,31,6.69,0.596,0.603
1601,northeast,north,4.290,1.596,31,east,4.333,1.845,30,NA,0.418,0.476
1602,northwest,north,3.906,1.802,32,west,4.133,1.871,30,NA,0.504,0.568
1603,nosebag,nose,3.625,1.862,32,bag,3.000,1.535,29,NA,0.827,0.714
1604,nosebleed,nose,4.625,1.980,32,bleed,5.500,1.338,32,NA,0.594,0.591
1605,nosedive,nose,3.281,1.611,32,dive,3.742,1.673,31,NA,0.863,0.766
1606,notebook,note,5.156,1.505,32,book,5.548,1.331,31,NA,0.665,0.617
1607,notecase,note,4.032,1.779,31,case,3.548,1.630,31,NA,NA,NA
1608,notepaper,note,5.290,1.596,31,paper,5.219,1.383,32,NA,0.650,0.639
1609,nowhere,no,3.323,1.887,31,where,2.900,1.689,30,3.62,0.615,0.448
1610,numberplate,number,5.067,1.874,30,plate,3.406,1.998,32,NA,NA,NA
1611,nursemaid,nurse,4.625,1.755,32,maid,3.600,1.589,30,4.87,0.568,0.485
1612,nutcase,nut,2.500,1.760,32,case,2.677,1.701,31,NA,0.676,0.707
1613,nutcracker,nut,3.839,1.485,31,cracker,2.875,1.921,32,NA,0.839,0.801
1614,nuthouse,nut,3.563,1.777,32,house,3.226,1.668,31,NA,0.565,0.716
1615,nutmeg,nut,4.290,1.657,31,meg,2.531,1.670,32,NA,0.812,0.943
1616,nutshell,nut,3.594,2.046,32,shell,3.900,1.882,30,NA,0.822,0.990
1617,oatmeal,oat,5.375,1.680,32,meal,4.129,1.591,31,5.40,0.568,0.724
1618,oddball,odd,4.839,1.881,31,ball,2.719,1.901,32,NA,0.702,0.831
1619,offbeat,off,4.344,1.961,32,beat,3.452,1.912,31,NA,0.834,0.818
1620,offhand,off,3.438,1.722,32,hand,2.750,1.470,32,NA,0.849,0.947
1621,offset,off,3.419,1.708,31,set,2.375,1.501,32,NA,0.895,0.957
1622,offshoot,off,3.344,1.789,32,shoot,2.750,1.621,32,NA,1.004,1.074
1623,offshore,off,3.469,1.741,32,shore,3.767,2.161,30,NA,0.817,0.603
1624,offside,off,3.871,1.607,31,side,3.567,1.695,30,NA,0.868,0.901
1625,offspring,off,2.100,1.605,30,spring,1.833,1.262,30,NA,0.935,0.797
1626,offstage,off,3.000,1.704,32,stage,4.321,1.964,29,NA,0.743,0.530
1627,oilcan,oil,4.375,1.862,32,can,4.323,1.620,31,NA,0.671,0.807
1628,oilcloth,oil,3.969,1.732,32,cloth,4.300,1.418,30,NA,0.910,0.632
1629,oilfield,oil,4.968,1.683,31,field,3.700,1.535,30,NA,0.454,0.881
1630,oilman,oil,4.355,1.743,31,man,3.433,1.569,30,NA,0.634,0.712
1631,oilrig,oil,4.594,1.932,32,rig,4.194,1.537,31,NA,NA,NA
1632,oilseed,oil,3.938,1.966,32,seed,3.813,1.857,32,NA,0.878,0.618
1633,oilskin,oil,3.813,1.857,32,skin,3.966,1.762,29,NA,0.833,0.748
1634,oneself,one,4.800,1.808,30,self,6.000,1.282,29,6.13,0.751,0.651
1635,onetime,one,4.156,1.953,32,time,3.267,1.701,30,5.15,0.830,0.864
1636,onrush,on,3.031,1.694,32,rush,2.833,1.367,30,NA,0.806,0.760
1637,onset,on,3.438,1.759,32,set,3.200,1.919,30,NA,0.955,0.996
1638,onshore,on,3.613,1.706,31,shore,4.355,1.427,31,NA,0.991,0.613
1639,onto,on,4.031,1.942,32,to,3.129,2.012,31,NA,0.522,0.680
1640,otherwise,other,3.903,1.700,31,wise,3.313,2.113,32,2.87,0.711,0.728
1641,outback,out,3.094,1.692,32,back,2.500,1.137,30,3.82,0.830,0.808
1642,outbalance,out,3.063,1.523,32,balance,3.032,1.722,31,NA,0.756,0.935
1643,outbid,out,3.281,1.611,32,bid,4.323,1.661,31,3.79,0.786,0.502
1644,outboard,out,3.281,1.670,32,board,3.300,1.535,30,NA,0.851,0.816
1645,outbound,out,3.875,1.641,32,bound,3.133,1.548,30,NA,0.925,0.952
1646,outbreak,out,3.645,2.009,31,break,2.867,1.795,30,3.67,0.917,0.940
1647,outbuilding,out,3.968,1.798,31,building,3.344,1.869,32,NA,0.859,0.695
1648,outburst,out,3.625,1.661,32,burst,4.387,1.874,31,4.29,0.978,0.668
1649,outcast,out,4.063,1.777,32,cast,2.567,1.524,30,3.21,0.864,0.810
1650,outclass,out,3.219,1.755,32,class,3.125,1.642,32,NA,0.864,0.822
1651,outcome,out,3.031,1.769,32,come,2.323,1.275,31,3.13,0.905,0.885
1652,outcrop,out,3.125,1.809,32,crop,3.400,1.714,30,NA,0.899,0.973
1653,outcry,out,3.129,1.803,31,cry,4.258,1.483,31,4.71,0.895,0.818
1654,outdate,out,3.125,1.879,32,date,3.700,2.020,30,NA,0.880,0.829
1655,outdistance,out,3.452,1.609,31,distance,3.281,1.833,32,NA,0.747,0.794
1656,outdo,out,2.875,1.621,32,do,3.167,1.663,30,3.33,0.815,0.718
1657,outdoor,out,4.813,1.908,32,door,2.903,1.700,31,NA,0.918,0.937
1658,outdrew,out,2.875,1.408,32,drew,2.467,1.252,30,NA,NA,NA
1659,outface,out,3.226,1.499,31,face,2.938,1.633,32,NA,0.836,0.832
1660,outfield,out,3.645,1.496,31,field,3.594,1.893,32,5.14,0.913,0.702
1661,outfight,out,3.097,1.557,31,fight,3.267,1.413,30,NA,0.675,0.650
1662,outfit,out,2.969,1.787,32,fit,3.433,1.654,30,2.27,0.681,0.688
1663,outflank,out,3.355,1.723,31,flank,3.867,1.570,30,3.56,0.855,0.655
1664,outflow,out,4.258,1.632,31,flow,4.290,1.346,31,NA,0.863,0.557
1665,outfought,out,3.031,1.576,32,fought,3.467,1.383,30,NA,NA,NA
1666,outfox,out,2.968,1.538,31,fox,2.645,1.539,31,NA,0.677,0.720
1667,outgoing,out,3.548,1.567,31,going,3.500,1.767,32,NA,0.894,0.929
1668,outgrow,out,3.161,1.828,31,grow,4.484,1.691,31,5.67,0.752,0.572
1669,outhouse,out,3.219,1.621,32,house,3.133,1.456,30,NA,0.729,0.591
1670,outlast,out,3.063,1.703,32,last,3.400,1.673,30,4.17,0.760,0.874
1671,outlaw,out,2.438,1.564,32,law,3.355,1.473,31,3.71,0.789,0.773
1672,outlay,out,2.938,1.501,32,lay,2.968,1.560,31,NA,0.914,0.921
1673,outlet,out,3.097,1.938,31,let,2.100,1.269,30,2.47,0.804,0.902
1674,outline,out,3.313,1.615,32,line,3.548,1.434,31,3.07,0.906,0.901
1675,outlive,out,2.469,1.414,32,live,4.100,1.709,30,4.40,0.820,0.665
1676,outlook,out,2.750,1.849,32,look,3.438,1.893,32,3.47,0.917,0.909
1677,outmarch,out,3.452,1.457,31,march,3.563,2.219,32,NA,NA,NA
1678,outmatch,out,2.906,1.422,32,match,3.367,1.402,30,NA,0.825,0.832
1679,outmost,out,3.281,1.818,32,most,2.931,1.602,29,NA,0.709,0.803
1680,outnumber,out,2.613,1.820,31,number,3.133,1.795,30,3.71,0.897,0.761
1681,outpatient,out,3.031,1.576,32,patient,4.100,1.900,30,3.47,0.881,0.527
1682,outplay,out,2.969,1.470,32,play,3.281,1.539,32,NA,0.853,0.669
1683,outport,out,3.194,1.376,31,port,3.219,1.851,32,NA,NA,NA
1684,outpost,out,3.656,1.911,32,post,3.903,1.795,31,3.92,0.876,0.840
1685,output,out,3.969,1.656,32,put,2.533,1.655,30,3.20,0.989,1.000
1686,outrage,out,2.563,1.777,32,rage,5.500,1.548,30,3.73,0.876,0.587
1687,outrank,out,3.387,1.838,31,rank,3.844,1.611,32,NA,0.730,0.673
1688,outreach,out,3.750,1.685,32,reach,4.000,1.622,32,4.21,0.908,0.871
1689,outride,out,2.625,1.385,32,ride,3.567,1.870,30,NA,0.580,0.611
1690,outrigger,out,3.226,1.407,31,trigger,3.250,1.905,32,NA,0.800,0.954
1691,outright,out,3.031,1.636,32,right,3.031,1.886,32,2.67,0.848,0.861
1692,outrun,out,3.161,1.655,31,run,3.800,1.750,30,4.07,0.766,0.706
1693,outsail,out,2.806,1.250,31,sail,3.375,1.799,32,NA,NA,NA
1694,outsell,out,3.250,2.048,32,sell,3.967,1.790,30,3.57,0.785,0.705
1695,outset,out,3.600,1.905,30,set,2.548,1.650,31,2.60,0.998,0.835
1696,outshine,out,3.125,1.862,32,shine,4.250,1.802,32,4.13,0.762,0.625
1697,outside,out,4.677,2.088,31,side,2.903,1.578,31,4.40,0.491,0.649
1698,outsize,out,3.516,1.913,31,size,3.226,1.707,31,NA,0.786,0.648
1699,outsmart,out,3.100,1.989,30,smart,4.300,1.466,30,4.27,0.701,0.635
1700,outspan,out,3.290,1.395,31,span,2.813,1.857,32,NA,NA,NA
1701,outspread,out,3.710,1.829,31,spread,4.467,1.432,30,NA,0.722,0.726
1702,outstay,out,3.344,1.696,32,stay,3.125,1.614,32,NA,0.884,0.822
1703,outstrip,out,3.419,1.803,31,strip,2.933,1.437,30,NA,0.890,1.016
1704,outvote,out,3.032,1.683,31,vote,3.900,1.826,30,NA,0.788,0.552
1705,outwear,out,3.452,1.524,31,wear,3.813,1.892,32,NA,0.961,0.757
1706,outweigh,out,2.688,1.469,32,weigh,3.548,1.804,31,4.57,0.917,0.744
1707,outwit,out,3.031,1.750,32,wit,3.867,2.330,30,4.27,0.771,0.827
1708,outwork,out,3.094,1.594,32,work,4.000,1.875,30,NA,0.919,0.845
1709,ovenware,oven,5.031,1.636,32,ware,4.200,1.769,30,NA,0.666,0.839
1710,overarch,over,3.129,1.500,31,arch,3.594,2.014,32,NA,0.748,0.753
1711,overbalance,over,3.323,1.536,31,balance,3.688,2.106,32,NA,0.865,0.897
1712,overboard,over,4.125,1.601,32,board,2.533,1.332,30,NA,0.700,0.749
1713,overcast,over,3.419,1.587,31,cast,3.969,1.938,32,NA,0.845,0.869
1714,overcharge,over,3.548,1.670,31,charge,4.000,1.949,32,NA,0.934,0.661
1715,overcoat,over,3.452,1.434,31,coat,4.156,1.692,32,NA,0.755,0.414
1716,overcooked,over,3.710,1.488,31,cooked,4.625,1.911,32,NA,NA,NA
1717,overcrowd,over,3.452,1.287,31,crowd,4.375,1.783,32,NA,0.692,0.839
1718,overdraft,over,3.355,1.496,31,draft,3.656,1.936,32,NA,0.921,0.964
1719,overdraw,over,3.742,1.505,31,draw,3.750,1.990,32,NA,0.858,0.835
1720,overdress,over,3.419,1.385,31,dress,4.406,1.626,32,NA,0.772,0.605
1721,overdrive,over,3.516,1.503,31,drive,4.125,1.886,32,NA,0.827,0.808
1722,overdue,over,3.484,1.525,31,due,4.563,1.671,32,NA,0.865,0.804
1723,overeat,over,3.484,1.630,31,eat,4.563,1.710,32,NA,0.782,0.427
1724,overemphasis,over,3.806,1.642,31,emphasis,4.594,1.840,32,NA,0.983,0.791
1725,overestimate,over,3.581,1.608,31,estimate,4.688,1.677,32,NA,0.885,0.571
1726,overexpose,over,3.581,1.649,31,expose,4.344,1.600,32,NA,0.741,0.720
1727,overfeed,over,3.806,1.662,31,feed,4.594,1.706,32,NA,0.704,0.592
1728,overfill,over,3.548,1.546,31,fill,4.063,2.033,32,NA,0.757,0.655
1729,overflow,over,3.419,1.336,31,flow,3.938,2.016,32,NA,0.929,0.730
1730,overfly,over,3.097,1.535,31,fly,3.750,1.697,32,NA,0.648,0.536
1731,overhand,over,3.323,1.447,31,hand,3.594,1.895,32,NA,0.615,0.531
1732,overhang,over,3.452,1.480,31,hang,3.719,1.759,32,NA,0.840,0.815
1733,overhead,over,3.419,1.409,31,head,3.844,1.973,32,NA,0.785,0.806
1734,overhear,over,3.613,1.498,31,hear,4.281,1.736,32,NA,0.742,0.593
1735,overheat,over,3.548,1.609,31,heat,4.719,1.872,32,NA,0.816,0.625
1736,overjoy,over,3.710,1.510,31,joy,4.813,1.734,32,NA,NA,NA
1737,overkill,over,3.839,1.416,31,kill,4.063,1.871,32,NA,0.889,0.835
1738,overland,over,3.710,1.532,31,land,3.531,1.895,32,NA,0.857,0.790
1739,overlap,over,3.806,1.600,31,lap,3.645,1.771,31,NA,0.937,0.991
1740,overload,over,3.806,1.600,31,load,4.156,2.045,32,NA,0.886,0.753
1741,overlook,over,3.355,1.704,31,look,3.688,1.959,32,NA,0.838,0.730
1742,overlord,over,3.516,1.338,31,lord,3.906,2.067,32,NA,0.813,0.721
1743,overnight,over,3.419,1.649,31,night,4.813,1.653,32,NA,0.724,0.646
1744,overpay,over,3.516,1.363,31,pay,4.500,2.127,32,NA,0.880,0.600
1745,overplay,over,3.419,1.478,31,play,4.188,1.821,32,NA,0.863,0.688
1746,overrate,over,3.516,1.435,31,rate,4.000,1.965,32,NA,0.890,0.912
1747,override,over,3.548,1.502,31,ride,4.000,1.853,32,NA,0.936,0.951
1748,overrule,over,3.581,1.501,31,rule,3.500,2.014,32,NA,0.905,0.778
1749,overrun,over,3.452,1.387,31,run,3.906,1.990,32,NA,0.830,0.858
1750,overseas,over,3.419,1.478,31,seas,3.719,2.122,32,NA,0.801,NA
1751,oversee,over,3.290,1.532,31,see,3.594,2.029,32,NA,0.837,0.907
1752,oversell,over,3.516,1.503,31,sell,4.188,1.648,32,NA,0.776,0.689
1753,oversight,over,3.742,1.591,31,sight,4.406,1.759,32,NA,0.920,0.933
1754,oversize,over,3.065,1.711,31,size,4.406,1.836,32,NA,0.812,0.716
1755,overskirt,over,2.968,1.516,31,skirt,2.600,1.429,30,NA,0.803,0.571
1756,oversleep,over,3.710,1.553,31,sleep,4.750,1.774,32,NA,0.696,0.495
1757,overspill,over,3.548,1.434,31,spill,4.500,1.589,32,NA,0.988,0.900
1758,oversteer,over,3.355,1.561,31,steer,3.839,1.570,31,NA,NA,NA
1759,overstock,over,3.484,1.411,31,stock,4.438,1.766,32,NA,0.831,0.634
1760,overtax,over,3.258,1.632,31,tax,4.387,1.938,31,NA,0.996,1.044
1761,overthrow,over,3.613,1.453,31,throw,4.156,1.899,32,NA,0.819,0.811
1762,overtime,over,3.452,1.546,31,time,4.156,1.784,32,NA,0.824,0.724
1763,overturn,over,3.742,1.527,31,turn,4.313,1.616,32,NA,0.803,0.780
1764,overweight,over,3.903,1.535,31,weight,4.906,1.573,32,NA,0.874,0.445
1765,overwork,over,3.806,1.740,31,work,4.844,1.783,32,NA,0.801,0.602
1766,ownself,own,5.125,1.737,32,self,5.367,1.921,30,NA,NA,NA
1767,oxcart,ox,3.806,1.600,31,cart,4.938,1.784,32,4.85,0.924,0.897
1768,oxtail,ox,4.400,1.923,30,tail,4.633,1.629,30,NA,0.877,0.711
1769,packhorse,pack,3.719,1.746,32,horse,3.448,1.617,29,NA,0.900,0.737
1770,padlock,pad,3.710,1.677,31,lock,4.563,1.928,32,3.75,0.847,0.567
1771,paintbox,paint,4.969,1.769,32,box,4.438,1.748,32,5.50,0.570,0.786
1772,paintbrush,paint,5.313,1.655,32,brush,4.968,1.354,31,6.33,0.536,0.581
1773,paintwork,paint,5.438,1.625,32,work,4.129,1.727,31,NA,0.487,0.803
1774,paleface,pale,4.469,1.849,32,face,4.219,1.897,32,NA,0.755,0.651
1775,pancake,pan,4.250,1.884,32,cake,4.156,1.591,32,NA,0.743,0.686
1776,panhandle,pan,3.645,2.026,31,handle,3.781,1.945,32,NA,0.851,0.867
1777,paperback,paper,4.125,1.862,32,back,2.567,1.547,30,NA,0.894,0.814
1778,paperboy,paper,4.032,1.958,31,boy,3.833,1.416,30,NA,0.894,0.839
1779,paperweight,paper,4.968,1.622,31,weight,4.125,2.205,32,NA,0.717,0.876
1780,paperwork,paper,5.645,1.450,31,work,4.581,1.728,31,NA,0.730,0.687
1781,parenthood,parent,5.355,1.664,31,hood,3.656,2.362,32,3.57,0.602,0.909
1782,parkhouse,park,4.281,1.508,32,house,3.774,1.765,31,NA,NA,NA
1783,parkland,park,3.813,1.857,32,land,3.633,1.866,30,NA,0.691,0.789
1784,parklike,park,3.781,2.012,32,like,2.156,1.223,32,NA,NA,NA
1785,parkway,park,3.813,1.635,32,way,3.323,1.720,31,NA,0.630,0.770
1786,parrotlike,parrot,5.258,1.505,31,like,2.548,1.588,31,NA,NA,NA
1787,partnership,partner,5.290,1.616,31,ship,2.813,2.294,32,3.21,0.620,1.056
