ID,CW,c1,ST_c1_Mean,ST_c1_SD,Obs_c1,c2,ST_c2_Mean,ST_c2_SD,Obs_c2,ST_Juhasz,Mandera_c1,Mandera_c2
134,battleground,battle,4.813,1.975,32,ground,3.700,1.535,30,NA,0.547,0.806
135,battleship,battle,4.719,2.036,32,ship,4.750,1.740,32,NA,0.756,0.551
136,beachhead,beach,3.938,1.917,32,head,3.129,1.765,31,NA,0.800,0.812
137,beachwear,beach,5.219,1.581,32,wear,3.935,1.752,31,NA,0.593,0.481
138,beadsman,beads,3.452,1.630,31,man,4.219,2.024,32,NA,NA,0.897
139,beanpole,bean,3.031,1.875,32,pole,3.032,1.768,31,NA,0.791,0.773
140,beanstalk,bean,4.656,1.771,32,stalk,4.031,1.760,32,NA,0.718,0.789
141,beardown,bear,2.800,1.495,30,down,2.500,1.729,32,NA,NA,NA
142,bearskin,bear,4.774,1.668,31,skin,4.241,1.725,29,6.20,0.706,0.755
143,beavertail,beaver,4.000,1.807,31,tail,4.067,1.911,30,NA,NA,NA
144,bedbug,bed,4.719,1.853,32,bug,4.867,1.332,30,NA,0.700,0.707
145,bedclothes,bed,4.406,1.982,32,clothes,5.267,1.363,30,NA,0.433,0.610
146,bedfast,bed,3.387,1.606,31,fast,2.125,1.369,32,NA,0.689,0.871
147,bedfellow,bed,3.500,1.685,32,fellow,3.700,1.643,30,NA,0.792,0.720
148,bedground,bed,3.313,1.712,32,ground,3.400,1.812,30,NA,NA,NA
149,bedpan,bed,3.710,1.677,31,pan,3.133,1.676,30,NA,0.605,0.788
150,bedpost,bed,4.906,1.553,32,post,2.833,1.621,30,NA,0.650,0.921
151,bedrock,bed,3.719,1.818,32,rock,3.806,1.990,31,NA,0.886,0.605
152,bedroom,bed,5.125,1.621,32,room,5.793,0.861,29,NA,0.481,0.446
153,bedside,bed,4.935,1.632,31,side,3.667,1.470,30,NA,0.621,0.886
154,bedsore,bed,3.844,1.834,32,sore,4.387,1.838,31,NA,0.822,0.859
155,bedspread,bed,3.969,1.787,32,spread,3.844,1.672,32,NA,0.528,0.771
156,bedstead,bed,3.281,1.670,32,stead,2.903,1.557,31,NA,0.516,0.851
157,bedtime,bed,5.484,1.411,31,time,3.935,1.825,31,NA,0.504,0.690
158,beefcake,beef,3.656,1.771,32,cake,3.700,1.968,30,NA,0.765,0.756
159,beefsteak,beef,5.563,1.523,32,steak,5.581,1.336,31,5.80,0.628,0.541
160,beehive,bee,5.387,1.667,31,hive,5.344,1.465,32,5.60,0.711,0.638
161,beeline,bee,3.531,1.759,32,line,2.871,1.655,31,3.21,0.859,0.855
162,beetroot,beet,3.500,1.951,32,root,3.656,1.949,32,5.36,0.721,0.717
163,beforehand,before,3.742,1.731,31,hand,2.031,1.663,32,3.60,0.595,0.848
164,bellboy,bell,3.688,1.839,32,boy,4.333,1.900,30,3.62,0.747,0.593
165,bellflower,bell,3.719,1.818,32,flower,4.767,1.813,30,NA,0.849,0.605
166,bellhop,bell,3.625,1.809,32,hop,2.594,1.582,32,2.50,0.789,0.696
167,bellman,bell,5.032,1.303,31,man,4.250,1.927,32,NA,0.614,0.679
168,beltway,belt,3.375,1.581,32,way,2.719,1.407,32,NA,0.922,0.761
169,benchmarks,bench,2.710,1.371,31,marks,3.375,1.959,32,NA,NA,NA
170,bighead,big,3.375,1.963,32,head,3.806,1.689,31,NA,0.789,0.871
171,bigwig,big,3.438,1.848,32,wig,3.469,1.823,32,NA,0.852,0.879
172,billboard,bill,3.469,2.110,32,board,4.367,1.608,30,NA,0.867,0.841
173,billfold,bill,3.563,1.900,32,fold,3.000,1.494,32,NA,0.622,0.725
174,billhook,bill,3.406,1.701,32,hook,3.233,1.851,30,NA,0.873,0.781
175,birdbath,bird,3.594,1.982,32,bath,3.742,1.673,31,NA,0.706,0.681
176,birdlike,bird,5.063,1.777,32,like,2.742,1.413,31,NA,0.680,0.676
177,birdseed,bird,4.219,1.581,32,seed,3.719,1.778,32,NA,0.595,0.713
178,birthcontrol,birth,4.156,2.034,32,control,3.906,1.741,32,NA,NA,NA
179,birthday,birth,5.594,1.583,32,day,4.667,2.023,30,NA,0.671,0.527
180,birthmark,birth,4.688,2.007,32,mark,4.767,1.591,30,NA,0.713,0.703
181,birthplace,birth,4.969,1.713,32,place,4.069,1.462,29,NA,0.682,0.743
182,birthrate,birth,4.281,2.020,32,rate,3.833,1.577,30,NA,0.767,0.676
183,birthright,birth,3.844,1.886,32,right,3.500,1.656,30,NA,0.739,0.757
184,bittersweet,bitter,3.531,1.814,32,sweet,3.933,1.660,30,4.93,0.533,0.552
185,blackball,black,4.097,1.660,31,ball,4.133,1.889,30,NA,0.840,0.666
186,blackberry,black,3.258,1.914,31,berry,5.313,1.879,32,NA,0.904,0.741
187,blackbird,black,3.469,1.796,32,bird,4.931,1.646,29,NA,0.793,0.535
188,blackboard,black,4.531,1.917,32,board,4.133,1.634,30,NA,0.980,0.838
189,Blackfeet,black,3.125,1.641,32,feet,2.806,1.642,31,NA,NA,NA
190,blackhead,black,3.594,1.881,32,head,2.903,1.720,31,NA,0.759,0.746
191,blackjack,black,2.938,1.777,32,jack,2.733,1.639,30,NA,0.890,0.797
192,blacklist,black,2.839,1.881,31,list,4.367,1.884,30,NA,0.889,0.625
193,blackmail,black,2.344,1.558,32,mail,2.719,1.712,32,NA,0.901,0.845
194,blackout,black,4.844,2.018,32,out,3.031,1.620,32,NA,0.880,0.884
195,blacksmith,black,2.935,1.843,31,smith,3.281,1.695,32,NA,0.937,0.797
196,blameworthy,blame,3.903,1.557,31,worthy,3.500,1.981,32,NA,0.585,0.706
197,blindfold,blind,4.563,1.883,32,fold,3.355,1.695,31,3.93,0.631,0.798
198,blockage,block,5.161,1.551,31,age,1.906,1.573,32,NA,0.746,0.997
199,blockbuster,blcok,2.774,1.944,31,buster,1.844,1.257,32,NA,NA,0.845
200,blockhead,block,4.097,1.758,31,head,3.700,1.915,30,NA,0.730,0.704
201,blockhouse,block,3.656,1.537,32,house,3.967,1.884,30,NA,0.648,0.822
202,bloodbath,blood,5.065,1.482,31,bath,2.900,1.729,31,NA,0.849,0.846
203,bloodhound,blood,3.875,2.044,32,hound,4.000,1.972,32,NA,0.876,0.643
204,bloodlust,blood,4.250,1.832,32,lust,3.833,1.949,30,NA,0.612,0.592
205,bloodroot,blood,2.903,1.423,31,root,2.719,1.600,32,NA,0.736,0.750
